City,Region,Month,Year,Rainfall(mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph),Heat Index(max),Heat index(min),Heat index(mean),Heat  Wave
Karimnagar,Plain,November,2019,0.44,19.52729167,31.63375,52.62145833,98.3175,-0.00625,5.651666667,52.31451571,25.12610904,38.72031237,0
Karimnagar,Plain,December,2019,0.06552419355,17.95668683,29.56424731,50.31266869,95.93103159,0.008870967742,6.950403226,42.74027723,26.17511264,34.45769494,0
Nizamabad,Plain,January,2020,0.5858731924,17.74949944,29.36173526,50.54404894,92.1592881,0,5.786206897,39.84056655,26.1955087,33.01803763,0
Nizamabad,Plain,February,2020,0.02794292509,18.21890606,31.5020214,40.48870392,87.58561237,0,5.860404281,47.26321978,25.90062266,36.58192122,0
Nizamabad,Plain,March,2020,0.3464961068,21.56351502,34.93414905,36.15038932,85.41468298,0,5.87942158,61.0690552,24.79460032,42.93182776,1
Khammam,Hilly,January,2020,0.08202764977,20.53425499,31.91889401,52.3688172,96.91858679,0,6.297975078,53.73063849,24.93665213,39.33364531,1
Khammam,Hilly,February,2020,0.1921182266,20.8546798,33.53891626,47.16683087,95.99819376,0,8.221530249,62.04066925,25.01624846,43.52845885,1
Khammam,Hilly,March,2020,0.3102918587,23.08986175,35.97941628,47.12211982,94.87419355,0,7.149001536,74.84797977,25.03265739,49.94031858,1
Khammam,Hilly,April,2020,0.13,24.68793651,38.29809524,39.16142857,91.77873016,0,8.053015873,87.09741459,25.49708903,56.29725181,1
Khammam,Hilly,May,2020,0.3459293395,27.9734255,40.59892473,33.97557604,85.71059908,0,9.780491551,95.21467809,27.18646182,61.20056995,1
Khammam,Hilly,June,2020,5.86,27.04698413,36.84269841,52.88079365,90.53507937,0,10.96936508,68.09384849,24.98635652,46.5401025,1
Khammam,Hilly,July,2020,10.18049155,25.79137225,34.24480287,71.18205325,97.56973886,0.03748079877,7.849462366,50.65121504,20.31312118,35.48216811,1
Khammam,Hilly,August,2020,11.23917051,25.65286738,32.35238095,79.10960061,98.29126984,0.2010852713,8.426666667,40.27130316,18.34814212,29.30972264,0
Khammam,Hilly,September,2020,7.928253968,26.01936508,34.46714286,73.49666667,98.28174603,0.03942766296,6.060254372,55.43990075,21.88359824,38.6617495,1
Khammam,Hilly,October,2020,6.314439324,24.74193548,33.64193548,70.79723502,98.26897081,0.02554517134,4.995327103,53.35964852,21.78830956,37.57397904,1
Khammam,Hilly,November,2020,0.8185714286,21.83253968,33.00174603,57.12,96.33666667,0.01305732484,5.872611465,57.74883384,24.32846908,41.03865146,1
Khammam,Hilly,December,2020,0,18.30983103,32.36543779,47.22995392,96.50092166,0.008782742681,5.105546995,55.55207298,26.02083021,40.7864516,1
Karimnagar,Plain,January,2020,0.1633064516,18.41048387,29.45907258,53.22116935,93.30745968,0,8.996169355,41.93862881,25.72705562,33.83284222,0
Karimnagar,Plain,February,2020,0.549137931,18.82737069,31.22306034,46.98038793,91.24827586,0,9.263793103,47.96225392,25.62043151,36.79134271,0
Karimnagar,Plain,March,2020,0.6774193548,22.20483871,34.18971774,46.69717742,88.75040323,0,10.3108871,60.4211966,24.81871352,42.61995506,1
Karimnagar,Plain,April,2020,0.3935416667,23.71333333,37.62,33.24729167,79.05854167,0,9.821666667,70.47568935,24.96710562,47.72139749,1
Karimnagar,Plain,May,2020,0.5118951613,27.26310484,40.83467742,26.00846774,69.61532258,0,13.04556452,78.34341291,26.34935771,52.34638531,1
Karimnagar,Plain,June,2020,6.526875,26.05104167,35.39645833,53.66333333,87.60020833,0.4385416667,12.84229167,57.90241905,23.9857505,40.94408478,1
Karimnagar,Plain,July,2020,8.571572581,24.9625,33.24784946,71.26056788,97.05556116,0.1735887097,10.91431452,48.84317887,20.56557214,34.70437551,0
Karimnagar,Plain,August,2020,17.28125,24.66735551,30.62533602,80.05329301,96.88514785,0.5407258065,11.73024194,25.2959952,12.60458197,18.95028858,0
Karimnagar,Plain,September,2020,8.216666667,24.7025,33.065625,75.6625,97.83333333,0.08333333333,8.435416667,48.14937546,19.93248211,34.04092879,0
Karimnagar,Plain,October,2020,4.650604839,23.07641129,32.36673387,67.61955645,96.97560484,0.04737903226,6.430846774,49.23759194,21.94901401,35.59330297,0
Karimnagar,Plain,November,2020,0.04583333333,18.96270833,31.75895833,41.75395833,89.75166667,0.02625,6.972708333,49.61460918,25.60645924,37.61053421,0
Karimnagar,Plain,December,2020,0,15.60967742,30.54495968,35.36270161,92.09556452,0.001008064516,6.721572581,45.46368293,26.99871603,36.23119948,0
Nizamabad,Plain,April,2020,0.2998850575,24.02103448,38.65977011,23.37022989,71.24712644,0,6.733678161,67.94720688,24.65414782,46.30067735,1
Nizamabad,Plain,May,2020,0.3869855395,27.65806452,40.81423804,21.00978865,58.12424917,0,8.373414905,65.9314204,26.48571067,46.20856553,1
Nizamabad,Plain,June,2020,5.472068966,25.11586207,34.6708046,53.88494253,88.30781609,0.2506896552,9.183448276,55.35275029,23.80255967,39.57765498,0
Nizamabad,Plain,July,2020,6.085094549,24.3354264,32.43090286,70.72295884,95.09271413,0.2035595106,7.454282536,46.87590287,21.62416265,34.25003276,0
Nizamabad,Plain,August,2020,11.39410456,23.76262329,30.04232481,78.96771042,95.95364664,0.6419354839,7.611568409,29.97575839,16.42391883,23.19983861,0
Nizamabad,Plain,September,2020,6.825057471,23.98183908,32.67333333,72.76494253,96.73747126,0.05317185698,5.641291811,47.11619552,20.59161671,33.85390612,0
Nizamabad,Plain,October,2020,2.302224694,22.42269188,32.37975528,61.76318131,96.08020022,0.02906458797,4.49298441,51.8137296,23.46501777,37.63937368,0
Nizamabad,Plain,November,2020,0,17.43735632,31.78068966,40.18862069,91.43252874,0.05225433526,5.906011561,50.28801204,26.34030864,38.31416034,0
Nizamabad,Plain,December,2020,0,14.81779755,30.63392659,34.84949944,90.82447164,0.002237136465,5.10738255,44.89590907,27.51077723,36.20334315,0
Nizamabad,Plain,January,2021,0.02258064516,18.0894327,31.11657397,45.29243604,92.36028921,,,46.12716248,26.1385901,36.13287629,0
Nizamabad,Plain,February,2021,0.1311576355,16.03448276,31.81748768,31.74507389,87.15049261,,,46.66000635,26.03274454,36.34637544,0
Nizamabad,Plain,March,2021,0,20.21612903,35.83125695,24.2185762,76.18865406,,,57.63211847,23.85958623,40.74585235,1
Nizamabad,Plain,April,2021,0.1755172414,23.61954023,38.61954023,21.44206897,70.69218391,0.01528735632,7.005057471,67.48900202,24.40124395,45.94512298,1
Nizamabad,Plain,May,2021,0.6063096112,26.08283199,38.38701394,19.67784299,47.34402054,0.1639031548,6.396404989,49.19961966,25.48906207,37.34434087,0
Nizamabad,Plain,June,2021,8.825172414,24.20206897,33.47517241,55.32712644,91.64655172,0.1751724138,8.464022989,46.47814376,21.89779393,34.18796885,0
Nizamabad,Plain,July,2021,16.59510567,24.17341491,31.45016685,69.1894327,94.25072303,0.2074527253,8.745828699,28.13327309,15.64096354,21.88711831,0
Nizamabad,Plain,August,2021,6.239154616,23.92591769,31.31290323,69.06807564,95.17208009,0.07263626251,8.281423804,41.95021157,21.3966781,31.67344483,0
Nizamabad,Plain,September,2021,14.24218391,23.33747126,31.21977011,72.42965517,96.31735632,0.03390804598,7.098735632,30.34210914,15.84545912,23.09378413,0
Nizamabad,Plain,October,2021,1.891101224,21.07263626,32.59799778,52.91034483,96.02035595,0.004449388209,6.600556174,54.07216771,24.27276717,39.17246744,0
Nizamabad,Plain,November,2021,0.3289655172,19.8183908,31.50195402,49.40413793,93.29896552,0,0,47.84685982,25.18991218,36.518386,0
